grade,step,amount
1,1,12655
1,2,12748
1,3,12850
1,4,12954
1,5,13058
1,6,13163
1,7,13269
1,8,13376
2,1,13433
2,2,13532
2,3,13631
2,4,13732
2,5,13834
2,6,13936
2,7,14039
2,8,14143
3,1,14267
3,2,14374
3,3,14479
3,4,14587
3,5,14696
3,6,14803
3,7,14914
3,8,15024
4,1,15150
4,2,15262
4,3,15376
4,4,15488
4,5,15603
4,6,15718
4,7,15835
4,8,15952
5,1,16079
5,2,16200
5,3,16320
5,4,16440
5,5,16561
5,6,16684
5,7,16808
5,8,16932
6,1,17061
6,2,17188
6,3,17315
6,4,17445
6,5,17573
6,6,17703
6,7,17834
6,8,17967
7,1,18099
7,2,18232
7,3,18367
7,4,18504
7,5,18640
7,6,18779
7,7,18917
7,8,19058
8,1,19303
8,2,19478
8,3,19655
8,4,19832
8,5,20011
8,6,20192
8,7,20374
8,8,20559
9,1,20903
9,2,21070
9,3,21239
9,4,21409
9,5,21580
9,6,21753
9,7,21928
9,8,22102
10,1,23027
10,2,23211
10,3,23396
10,4,23583
10,5,23771
10,6,23961
10,7,24152
10,8,24345
11,1,27022
11,2,27277
11,3,27537
11,4,27800
11,5,28067
11,6,28337
11,7,28611
11,8,28889
12,1,29021
12,2,29276
12,3,29535
12,4,29797
12,5,30063
12,6,30332
12,7,30604
12,8,30879
13,1,30979
13,2,31260
13,3,31544
13,4,31832
13,5,32125
13,6,32420
13,7,32719
13,8,33022
14,1,33322
14,2,33646
14,3,33974
14,4,34306
14,5,34642
14,6,34982
14,7,35327
14,8,35676
15,1,36187
15,2,36544
15,3,36905
15,4,37272
15,5,37642
15,6,38017
15,7,38396
15,8,38781
16,1,39204
16,2,39596
16,3,39994
16,4,40397
16,5,40804
16,6,41216
16,7,41635
16,8,42057
17,1,42522
17,2,42954
17,3,43392
17,4,43835
17,5,44283
17,6,44737
17,7,45196
17,8,45662
18,1,46174
18,2,46649
18,3,47130
18,4,47616
18,5,48110
18,6,48609
18,7,49115
18,8,49626
19,1,50751
19,2,51449
19,3,52158
19,4,52878
19,5,53610
19,6,54355
19,7,55112
19,8,55880
20,1,56670
20,2,57458
20,3,58259
20,4,59073
20,5,59901
20,6,60731
20,7,61568
20,8,62408
21,1,63012
21,2,63900
21,3,64804
21,4,65722
21,5,66655
21,6,67604
21,7,68536
21,8,69515
22,1,70346
22,2,71349
22,3,72370
22,4,73408
22,5,74462
22,6,75498
22,7,76586
22,8,77692
23,1,78584
23,2,79717
23,3,80870
23,4,82047
23,5,83333
23,6,84639
23,7,85966
23,8,87260
24,1,88367
24,2,89749
24,3,91155
24,4,92584
24,5,94035
24,6,95511
24,7,96965
24,8,98488
25,1,100554
25,2,102128
25,3,103729
25,4,105356
25,5,107009
25,6,108689
25,7,110398
25,8,112132
26,1,113627
26,2,115405
26,3,117214
26,4,119052
26,5,120920
26,6,122819
26,7,124747
26,8,126709
27,1,128397
27,2,130407
27,3,132452
27,4,134466
27,5,136577
27,6,138465
27,7,140640
27,8,142851
28,1,144422
28,2,146689
28,3,148993
28,4,151195
28,5,153571
28,6,155988
28,7,158223
28,8,160715
29,1,162443
29,2,164999
29,3,167596
29,4,170236
29,5,172918
29,6,175317
29,7,178083
29,8,180894
30,1,182880
30,2,185761
30,3,188602
30,4,191489
30,5,194420
30,6,197491
30,7,200517
30,8,203687
